City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,quellon,-43.1167,-73.6167,43.03,87,100,11.52,CL,1698628987
225,salekhard,66.53,66.6019,4.42,98,80,3.27,RU,1698628987
226,linhares,-19.3911,-40.0722,74.52,76,87,7.25,BR,1698628981
227,grand falls-windsor,48.9332,-55.6649,37.51,59,38,4.0,CA,1698628988
228,buala,-8.145,159.5921,85.57,70,98,5.75,SB,1698628988
229,kushiro,42.975,144.3747,52.75,71,75,2.3,JP,1698628988
230,marsberg,51.4617,8.8495,53.15,82,100,12.39,DE,1698628988
231,tangalle,6.024,80.7911,76.26,86,96,2.91,LK,1698628988
232,terrace,54.5163,-128.6035,33.71,59,75,4.61,CA,1698628988
233,isla mujeres,21.2311,-86.731,77.16,70,1,10.07,MX,1698628989
234,luebo,-5.35,21.4167,74.7,87,99,0.22,CD,1698628989
235,goure,13.9835,10.2704,81.3,17,5,7.65,NE,1698628989
236,forster,-32.1667,152.5167,79.29,56,0,11.97,AU,1698628989
237,badger,64.8,-147.5333,28.36,88,100,3.44,US,1698628989
238,margate,51.3813,1.3862,55.31,84,2,4.0,GB,1698628990
239,tonota,-21.4833,27.4833,59.05,81,100,18.01,BW,1698628990
240,humaita,-7.5061,-63.0208,89.56,33,100,1.99,BR,1698628990
241,abengourou,6.7297,-3.4964,71.58,97,19,1.3,CI,1698628990
242,bode saadu,8.9333,4.7833,77.13,75,91,3.04,NG,1698628990
243,constitucion,-35.3333,-72.4167,48.96,85,12,4.05,CL,1698628990
244,pizarro,4.9533,-77.366,77.32,88,96,1.79,CO,1698628991
245,izluchinsk,60.9794,76.9242,15.82,97,52,3.13,RU,1698628991
246,moranbah,-22.0016,148.0466,83.59,28,27,10.2,AU,1698628824
247,mount gambier,-37.8333,140.7667,52.54,89,99,12.48,AU,1698628991
248,saudarkrokur,65.7461,-19.6394,30.65,80,17,7.94,IS,1698628991
249,tinghir,31.5157,-5.5343,65.75,45,100,12.26,MA,1698628991
250,djambala,-2.5447,14.7533,70.66,82,97,2.66,CG,1698628992
251,howrah,22.5892,88.3103,73.4,88,20,0.0,IN,1698628992
252,bakanas,44.8081,76.2772,59.63,57,100,5.88,KZ,1698628992
253,inongo,-1.95,18.2667,73.71,85,98,2.75,CD,1698628992
254,vila franca do campo,37.7167,-25.4333,59.41,99,100,3.04,PT,1698628992
255,la passe,45.5549,-0.8967,54.99,96,100,12.62,FR,1698628992
256,solleftea,63.1667,17.2667,28.26,93,82,2.37,SE,1698628993
257,ylitornio,66.3089,23.6773,16.05,88,83,1.12,FI,1698628993
258,hechuan,29.9947,106.2572,66.69,73,1,1.01,CN,1698628993
259,gorom-gorom,14.4439,-0.2361,84.67,20,9,2.39,BF,1698628993
260,guayaramerin,-10.8368,-65.3614,72.86,96,100,3.38,BO,1698628993
261,prince george,53.9166,-122.753,33.62,61,0,3.44,CA,1698628811
262,vega de alatorre,20.0333,-96.6333,78.37,79,40,3.49,MX,1698628993
263,daru,-9.0763,143.2092,79.32,82,100,17.0,PG,1698628993
264,punta alta,-38.8759,-62.0736,51.08,88,100,19.57,AR,1698628994
265,fortuna foothills,32.6578,-114.4119,68.09,14,0,16.11,US,1698628994
266,afaahiti,-17.75,-149.2833,78.67,81,45,16.73,PF,1698628994
267,nuuk,64.1835,-51.7216,45.21,49,100,19.57,GL,1698628994
268,prado,-17.3411,-39.2208,76.03,74,95,12.91,BR,1698628994
269,brandfort,-28.7001,26.4597,44.73,69,57,20.92,ZA,1698628994
270,duekoue,6.7472,-7.3496,72.36,89,0,0.85,CI,1698628995
271,nemuro,43.3236,145.575,50.23,68,9,8.21,JP,1698628995
272,tura,25.5198,90.2201,68.65,91,1,2.28,IN,1698628995
273,kitakami,39.2833,141.1167,57.54,77,20,1.14,JP,1698628995
274,kurayoshi,35.4333,133.8167,64.31,57,21,3.27,JP,1698628995
275,flying fish cove,-10.4217,105.6791,80.28,83,100,10.36,CX,1698628996
276,jalqani,12.4486,34.2186,75.29,79,100,6.31,SD,1698628996
277,fort bragg,35.139,-79.006,68.83,81,0,1.01,US,1698628996
278,zaozersk,69.4005,32.4476,18.63,95,100,5.39,RU,1698628996
279,suva,-18.1416,178.4415,85.48,74,75,9.22,FJ,1698628900
280,pine bluff,34.2284,-92.0032,51.73,89,100,10.36,US,1698628881
281,crane,31.3974,-102.3501,37.62,78,100,20.15,US,1698628997
282,panjab,34.388,67.0233,38.7,67,6,3.85,AF,1698628997
283,kapuskasing,49.4169,-82.4331,28.49,86,75,1.14,CA,1698628997
284,antalaha,-14.9003,50.2788,71.29,89,35,4.92,MG,1698628997
285,turtas,58.9417,69.1325,20.71,87,100,10.45,RU,1698628997
286,guarapari,-20.6667,-40.4975,75.13,77,78,18.32,BR,1698628779
287,mahdia,35.5047,11.0622,75.15,82,100,16.53,TN,1698628998
288,vredendal,-31.6683,18.5012,62.71,27,0,25.93,ZA,1698628998
289,katsuura,35.1333,140.3,65.66,58,0,10.67,JP,1698628998
290,rikaze,29.25,88.8833,37.02,58,22,1.14,CN,1698628998
291,bubaque,11.2833,-15.8333,82.58,75,100,7.27,GW,1698628701
292,kudligi,14.9,76.3833,71.46,86,100,7.76,IN,1698628999
293,sondrio,46.169,9.8692,59.11,100,100,2.62,IT,1698628999
294,plastun,44.7561,136.2939,50.18,34,9,1.41,RU,1698628999
295,pinheiro,-2.5214,-45.0825,74.57,84,8,3.27,BR,1698628999
